(-2847.477224675989, -6538.116229860723, -286.02628792268564)
(-2848.385438064202, -6537.406753749092, -293.41317915596375)
(-2849.2905240639534, -6536.690101145134, -300.7997441454506)
(-2850.192482905816, -6535.966271915569, -308.18598462142756)
(-2851.0913122115953, -6535.235268021473, -315.57188095459315)
(-2851.9870118145436, -6534.49708966123, -322.95743158966576)
(-2852.8795803508124, -6533.751738015363, -330.34262511399766)
(-2853.7690174539, -6532.99921344378, -337.72745833006314)
(-2854.655321373777, -6532.239517484197, -345.11191654094534)
(-2855.5384919456824, -6531.472650335878, -352.49599819303876)
(-2856.418527821927, -6530.698613219751, -359.8796918749278)
(-2857.2954274701374, -6529.91740755156, -367.26298453500675)
(-2858.1691911179923, -6529.12903318764, -374.6458779050993)
(-2859.0398170452027, -6528.333491732335, -382.0283572928113)
(-2859.907304315387, -6527.530784106664, -389.41041457465076)
(-2860.771652574073, -6526.7209106954215, -396.7920465560188)
(-2861.6328603121988, -6525.903872968641, -404.17324018851144)
(-2862.49092660514, -6525.079671870528, -411.55398735159537)
(-2863.345851291928, -6524.2483076098915, -418.93428649264445)
(-2864.1976321212383, -6523.409782439655, -426.31411799912513)
(-2865.0462693177237, -6522.564096207737, -433.6934836035627)
(-2865.8917615875207, -6521.7112502575155, -441.07237190290266)
(-2866.7341082091634, -6520.851245375634, -448.4507764212611)
(-2867.573307901118, -6519.984082932289, -455.8286857579718)
(-2868.409359764501, -6519.109763926612, -463.2060917980658)
(-2869.242263271938, -6518.228288972853, -470.58298970717925)
(-2870.0720175265383, -6517.339659076861, -477.9593713702004)
(-2870.898621266791, -6516.4438756530935, -485.3352253903935)
(-2871.7220736061845, -6515.540939733216, -492.71054365390967)
(-2872.542374028259, -6514.630851949203, -500.0853213305598)
(-2873.3595214663337, -6513.713613544679, -507.45954866539313)
(-2874.173515225421, -6512.78922536266, -514.833219188731)
(-2874.9843540673346, -6511.857688873778, -522.2063215073858)
(-2875.7920373035877, -6510.919004939136, -529.5788491520532)
(-2876.5965640666186, -6509.973174633172, -536.9507940128134)
(-2877.3979333158154, -6509.02019925035, -544.3221463421703)
(-2878.1961447245108, -6508.060079242553, -551.6929029506773)
(-2878.9911967246053, -6507.092816562698, -559.0630491716558)
(-2879.783088996826, -6506.118411672446, -566.4325818192126)
(-2880.571820512443, -6505.136865900988, -573.8014911462571)
(-2881.35739042705, -6504.148180369186, -581.1697690494942)
(-2882.139797896484, -6503.1523562075245, -588.5374074232406)
(-2882.919042083379, -6502.14939455266, -595.9043981658156)
(-2883.6951221510058, -6501.139296550693, -603.2707331735619)
(-2884.468037267828, -6500.122063354736, -610.6364043452468)
(-2885.237786776172, -6499.097695897419, -618.0014052181934)
(-2886.004369338363, -6498.066196033937, -625.3657227777602)
(-2886.767784646577, -6497.027564254841, -632.7293538403688)
(-2887.528031879614, -6495.981801740983, -640.0922903061538)
(-2888.2851097175153, -6494.928910385067, -647.4545191652554)
(-2889.0390176873966, -6493.868890924705, -654.8160355960284)
(-2889.789755317534, -6492.801744090952, -662.1768347796459)
(-2890.537321465765, -6491.727471571557, -669.536905344093)
(-2891.2817150023966, -6490.6460750730475, -676.8962359227595)
(-2892.022935793111, -6489.557554865522, -684.2548249708987)
(-2892.7609823839366, -6488.461913158371, -691.6126578480377)
(-2893.4958544805854, -6487.359150469915, -698.9697313752218)
(-2894.2275509689584, -6486.249268547285, -706.3260341884558)
(-2894.9560713930446, -6485.132268159955, -713.6815614723861)
(-2895.6814146482416, -6484.008151077375, -721.0363018652263)
(-2896.403580603568, -6482.876917573477, -728.3902538245462)
(-2897.1225675221167, -6481.738570446131, -735.7433994483325)
(-2897.8383754377614, -6480.593109726088, -743.0957388314446)
(-2898.551002946206, -6479.440537737133, -750.447257345571)
(-2899.2604496074996, -6478.280855281084, -757.7979501809166)
(-2899.966714976727, -6477.114063156544, -765.1478125244785)
(-2900.6697976699156, -6475.940163729222, -772.4968297543872)
(-2901.3696978752814, -6474.759156760792, -779.8450036010281)
(-2902.0664134422204, -6473.5710459623615, -787.1923112718522)
(-2902.7599447177404, -6472.375830839975, -794.538756132747)
(-2903.4502904960773, -6471.173513548123, -801.8843252024858)
(-2904.137450654027, -6469.964094377728, -809.2290169417715)
(-2904.8214233882377, -6468.7475765891, -816.5728118386477)
(-2905.5022088861047, -6467.523959944126, -823.9157116233375)
(-2906.179806265918, -6466.293246098233, -831.2577065880474)
(-2906.8542145035894, -6465.05543699663, -838.5987853949513)
(-2907.5254328819897, -6463.8105340496895, -845.938939974046)
(-2908.1934611344154, -6462.558537836533, -853.278167155924)
(-2908.8582982487387, -6461.299450331121, -860.6164556059589)
(-2909.5199432224604, -6460.033273527634, -867.9537939927271)
(-2910.178395941291, -6458.760007735305, -875.2901807807176)
(-2910.8336549700552, -6457.479655818875, -882.6255997435702)
(-2911.485720488817, -6456.192217520193, -889.9600526112002)
(-2912.1345912195916, -6454.8976954413165, -897.2935247933582)
(-2912.7802664744336, -6453.5960910548865, -904.6260082302363)
(-2913.4227458535174, -6452.287405257917, -911.9574981240569)
(-2914.0620285295754, -6450.971639822909, -919.2879847853017)
(-2914.698113963858, -6449.648795946503, -926.6174617869124)
(-2915.3310011973076, -6448.318875716572, -933.9459178123495)
(-2915.9606895593465, -6446.981880645131, -941.2733448075235)
(-2916.587178660407, -6445.637811652826, -948.5997379781901)
(-2917.2104678343653, -6444.286670256918, -955.9250892730098)
(-2917.830556001784, -6442.928458893697, -963.2493857504934)
(-2918.447443058385, -6441.563177891778, -970.5726258802425)
(-2919.0611277987086, -6440.1908300133055, -977.8947950962939)
(-2919.671609983341, -6438.811415898243, -985.2158902394578)
(-2920.278888826509, -6437.424937413772, -992.5359016339677)
(-2920.882963818305, -6436.031395818751, -999.8548228635385)
(-2921.483833915872, -6434.630793623186, -1007.1726410011971)
(-2922.0814988846832, -6433.223131479919, -1014.489352889332)
